58,ACCEDE
298,AGREE#1
305,AID#1
376,ALLOW#1
560,APPEASE
561,APPEASEMENT
574,APPOINT#1
575,APPOINT#2
681,ASCEND
682,ASCENDANCY
683,ASCENDANT
721,ASSIST#1
722,ASSIST#2
723,ASSISTANCE
870,BACK#2
873,BACK#5
1394,BUILD#4
1854,CO-OPERATION
2326,COOPERATE
2703,DEFEND
3419,ELECT#1
3421,ELECTION
3450,EMANCIPATION
3462,EMERGE#1
3463,EMERGE#2
3483,EMPOWER
3498,ENCOURAGE#1
3513,ENDORSE
3547,ENLIST#1
3597,EQUAL#3
3620,ESCAPE#1
4219,FOLLOW#1
4305,FORTIFY
4340,FRANCHISE
4352,FREE#2
4923,HEAD#3
4979,HELP#2
4981,HELP#4
6425,MASTER#2
6991,NOMINATE
7078,OBEY
7308,OVERCAME
7576,PERMIT#1
8192,PUT#6
8486,REINFORCE
8599,REPULSE
8666,RESTORATION
8667,RESTORE
8701,REUNIFY
8947,SAFEGUARD
9117,SECOND#4
9707,SPEAK#3
9761,SPOKE#2
9837,STAND#3
9950,STOOD#2
9995,STRENGTHEN#1
9996,STRENGTHEN#2
10114,SUCCESSION
10190,SUPPORT#1
10191,SUPPORT#2
10193,SUPPORT#4
10995,UNFETTERED
11248,VESTED
11420,WAY#10
11649,WON
