52,ABUSE#1
53,ABUSE#2
188,ADMISSION
189,ADMIT#1
191,ADMIT#3
317,AIR#3
523,ANXIOUS#1
700,ASSAIL
960,BASTARD
1051,BELITTLE
1075,BERATE
2420,COWARD
2725,DEGRADE
2977,DISAPPROVE
3028,DISGRACE
3176,DOUBLE#3
4425,FUN#2
4560,GIVE#3
5449,INEQUALITY
5471,INFERIORITY
5541,INSINUATE
5542,INSINUATION
5582,INSULT
5954,LAUGH#3
6669,MISTREAT
6689,MOCK
7640,PICK#3
8370,REBUKE
8758,RIDE#3
8762,RIDICULE#1
8763,RIDICULE#2
8764,RIDICULOUS
9064,SCOLD#1
9215,SERVE#3
9275,SHAME
9391,SHUT#2
9528,SLIGHT#4
9529,SLIGHT#5
