13,ABOLISH
78,ACCOMPLISH
79,ACCOMPLISHMENT
82,ACCORD#3
110,ACHIEVEMENT
170,ADJUDICATION
176,ADMINISTER
177,ADMINISTRATION#1
178,ADMINISTRATION#2
179,ADMINISTRATIVE
180,ADMINISTRATOR
190,ADMIT#2
193,ADMONISH
228,ADVISER
229,ADVISOR
233,ADVOCATE#2
247,AFFIRM
257,AFFORD#2
277,AGENCY
370,ALLIANCE
374,ALLOT
376,ALLOW#1
384,ALMIGHTY
417,AMAZEMENT
418,AMAZING
419,AMBASSADOR
422,AMBITION
423,AMBITIOUS
445,AMNESTY
575,APPOINT#2
577,APPRAISAL
589,APPROPRIATE#2
590,APPROPRIATION
610,ARDENT
627,ARISTOCRACY
628,ARISTOCRAT
629,ARISTOCRATIC
633,ARM#2
634,ARM#3
636,ARMED#1
637,ARMED#2
639,ARMY
643,ARRANGE#1
646,ARREST#1
651,ARROGANCE
710,ASSERT
715,ASSESSOR
718,ASSIGN#2
730,ASSUME#1
735,ASSURE#2
736,ASSURE#3
737,ASSUREDLY
741,ASTOUND
782,ATTORNEY
795,AUDITOR
810,AUTHORITARIAN
811,AUTHORITATIVE
812,AUTHORITY
813,AUTHORIZE#1
814,AUTHORIZE#2
816,AUTOCRAT
817,AUTOCRATIC
821,AUTONOMOUS
844,AWARD#1
845,AWARD#2
860,AX
870,BACK#2
873,BACK#5
877,BACKBONE
908,BALLOT
918,BANISH#1
919,BANISH#2
920,BANISHMENT
936,BAR#4
984,BEAR#2
992,BEAR#_10
997,BEAT#2
1068,BENEFIT#2
1072,BENIGN
1088,BESTOW
1106,BICEP
1123,BISHOP
1139,BLACKMAIL
1176,BLOODTHIRSTY
1193,BOARD#1
1204,BOAST
1205,BOASTFUL
1211,BODY#4
1218,BOLDNESS
1236,BOOT
1251,BOSS
1294,BRAG
1307,BRAVADO
1308,BRAVE
1309,BRAVERY
1311,BRAZEN
1342,BRING#2
1344,BRING#4
1480,CAMPAIGN#1
1504,CAPABILITY
1505,CAPABLE
1506,CAPACITY#1
1513,CAPITALIZE
1518,CAPTAIN
1522,CAPTURE#2
1555,CAST#2
1592,CELEBRITY
1597,CENSOR
1598,CENSORSHIP
1599,CENSURE
1618,CERTIFICATE
1619,CERTIFICATION
1620,CERTIFY
1628,CHAIRMAN
1629,CHAIRMEN
1634,CHAMP
1635,CHAMPION
1636,CHAMPIONSHIP
1642,CHANCELLOR
1649,CHANNEL#2
1660,CHARGE#1
