"president","year","category","count","total_words","percent"
"clinton","1993","ABS","40","7039","0.57"
"clinton","1993","Abs@","30","7039","0.43"
"clinton","1993","Academ","8","7039","0.11"
"clinton","1993","Active","62","7039","0.88"
"clinton","1993","AffGain","0","7039","0.0"
"clinton","1993","Affil","24","7039","0.34"
"clinton","1993","AffLoss","0","7039","0.0"
"clinton","1993","AffOth","2","7039","0.03"
"clinton","1993","AffPt","2","7039","0.03"
"clinton","1993","AffTot","4","7039","0.06"
"clinton","1993","ANI","0","7039","0.0"
"clinton","1993","Anomie","1","7039","0.01"
"clinton","1993","Aquatic","0","7039","0.0"
"clinton","1993","ArenaLw","3","7039","0.04"
"clinton","1993","Arousal","2","7039","0.03"
"clinton","1993","Begin","4","7039","0.06"
"clinton","1993","BldgPt","2","7039","0.03"
"clinton","1993","BodyPt","0","7039","0.0"
"clinton","1993","CARD","6","7039","0.09"
"clinton","1993","Causal","2","7039","0.03"
"clinton","1993","COLL","17","7039","0.24"
"clinton","1993","COLOR","0","7039","0.0"
"clinton","1993","COM","15","7039","0.21"
"clinton","1993","ComForm","23","7039","0.33"
"clinton","1993","ComnObj","4","7039","0.06"
"clinton","1993","Compare","4","7039","0.06"
"clinton","1993","Complet","6","7039","0.09"
"clinton","1993","DAV","7","7039","0.1"
"clinton","1993","Decreas","3","7039","0.04"
"clinton","1993","Defined","450","7039","6.39"
"clinton","1993","DIM","4","7039","0.06"
"clinton","1993","DIST","0","7039","0.0"
"clinton","1993","Doctrin","18","7039","0.26"
"clinton","1993","ECON","54","7039","0.77"
"clinton","1993","Econ@","43","7039","0.61"
"clinton","1993","EMOT","6","7039","0.09"
"clinton","1993","EndsLw","23","7039","0.33"
"clinton","1993","EnlEnds","0","7039","0.0"
"clinton","1993","EnlGain","3","7039","0.04"
"clinton","1993","EnlLoss","0","7039","0.0"
"clinton","1993","EnlOth","20","7039","0.28"
"clinton","1993","EnlPt","1","7039","0.01"
"clinton","1993","EnlTot","24","7039","0.34"
"clinton","1993","EVAL","21","7039","0.3"
"clinton","1993","Eval@","5","7039","0.07"
"clinton","1993","Exch","4","7039","0.06"
"clinton","1993","Exert","3","7039","0.04"
"clinton","1993","Exprsv","5","7039","0.07"
"clinton","1993","Fail","3","7039","0.04"
