speechname,tone,family,feel,money,insight,number,clout,Parenth,cogproc,OtherP,female,negate,negemo,differ,death,adverb,informal,ipron,analytic,percept,health,Exclam,adj,prep,achieve,relig,bio,risk,sixLtr,leisure,Quote,verb,hear,they,affect,you,work,Period,dic,friend,focusfuture,auxverb,male,shehe,SemiC,function,compare,pronoun,QMark,certain,assent,tentat,sad,affiliation,see,anger,home,conj,sexual,ppron,motion,space,filler,anx,focuspresent,netspeak,quant,discrep,relativ,Colon,nonflu,cause,body,we,wc,power,interrog,social,drives,wps,focuspast,article,AllPunc,authentic,Apostro,i,posemo,ingest,Dash,swear,Comma,time,reward,president,type,year
clinton-convention-1992,65.464195,0.012164902,0.004280243,0.016895697,0.014417661,0.011263798,86.91031,0.0,0.108357735,0.00022527596,0.009236314,0.019148456,0.016445145,0.03131336,0.0020274837,0.048434332,0.0013516558,0.05406623,52.638626,0.019373734,0.010362694,0.00022527596,0.050461818,0.12818202,0.02230232,0.0045055193,0.01509349,0.005631899,0.16895697,0.0067582787,0.0031538636,0.15904483,0.007884659,0.011038522,0.054516785,0.015994594,0.05293985,0.061725613,0.9062852,0.0027033116,0.020274837,0.08785763,0.013741834,0.013516557,0.0020274837,0.5489975,0.022978147,0.16512728,0.0018022077,0.02455508,0.00022527596,0.017120972,0.004730795,0.05406623,0.0067582787,0.004280243,0.006983555,0.072313584,0.0011263798,0.110385224,0.020950664,0.07614327,0.00022527596,0.00045055192,0.11218743,0.0,0.025906736,0.01621987,0.14935796,0.0031538636,0.00090110383,0.01959901,0.0029285876,0.03784636,4439.0,0.051588196,0.01734625,0.14079748,0.1358414,15.797153,0.033115566,0.06893445,0.16039649,41.654964,0.018697904,0.031989187,0.03739581,0.00090110383,0.008109935,0.0,0.06127506,0.054967336,0.014642938,clinton,convention,1992
clinton-inaug-1993,79.71431,0.0018915511,0.004413619,0.009457755,0.015132409,0.005674653,96.11114,0.0,0.10214376,0.0,0.000630517,0.015762925,0.01702396,0.029003782,0.0018915511,0.03846154,0.0031525851,0.04665826,63.244713,0.018284993,0.0075662043,0.0,0.04035309,0.13303909,0.03404792,0.0075662043,0.013240857,0.0069356873,0.20491803,0.008196721,0.002522068,0.12484237,0.0069356873,0.0069356873,0.06431273,0.0069356873,0.03783102,0.058638085,0.8732661,0.005044136,0.009457755,0.088272385,0.004413619,0.000630517,0.010718789,0.5460277,0.01702396,0.14880201,0.0,0.02774275,0.001261034,0.010718789,0.0037831021,0.092055485,0.0063051702,0.0037831021,0.0037831021,0.07061791,0.000630517,0.10214376,0.019546028,0.06368222,0.0,0.004413619,0.09899117,0.0,0.020807061,0.020176545,0.14312737,0.001261034,0.0018915511,0.016393442,0.005674653,0.07818411,1586.0,0.040983606,0.023959646,0.14564943,0.16393442,17.053764,0.017654477,0.07124843,0.1557377,28.496805,0.0063051702,0.009457755,0.04665826,0.0,0.0018915511,0.0,0.074401006,0.059899118,0.0126103405,clinton,inaug,1993
clinton-sotu-1993,70.43979,0.0024161455,0.0018476407,0.044059124,0.014496873,0.020181922,82.73636,0.0,0.10858443,0.003553155,0.00085275725,0.01350199,0.015491757,0.03112564,0.00014212621,0.033968166,0.0018476407,0.05926663,77.474846,0.010659466,0.0066799317,0.0,0.05628198,0.15477544,0.026861854,0.00085275725,0.009096078,0.0075326893,0.20480387,0.0036952815,0.0011370097,0.13700967,0.0052586696,0.008953951,0.055571347,0.008101194,0.06708357,0.041785106,0.8990904,0.00085275725,0.025582718,0.07532689,0.000710631,0.00028425243,0.002131893,0.529278,0.033257533,0.14027856,0.0,0.020892553,0.00042637862,0.020039795,0.003553155,0.053155202,0.0031267765,0.0031267765,0.004832291,0.06495168,0.0,0.08072769,0.019187039,0.07447413,0.0,0.0012791358,0.100909606,0.0,0.031409893,0.0206083,0.14553724,0.0015633883,0.001421262,0.020324048,0.002131893,0.043632746,7036.0,0.039511085,0.011512223,0.107021034,0.12777147,24.09589,0.0150653785,0.07390563,0.11569073,36.96329,0.012791359,0.019755542,0.039226834,0.00028425243,0.0036952815,0.0,0.04903354,0.054292213,0.013075612,clinton,sotu,1993
gwbush-convention-2000,88.05086,0.0060518035,0.0043572984,0.016702978,0.020576132,0.009198741,84.36764,0.0,0.106269665,0.0004841443,0.00338901,0.018639555,0.017671267,0.030259017,0.0012103607,0.029290728,0.0009682886,0.049382716,64.69223,0.01573469,0.008472525,0.0,0.04333091,0.12660372,0.029532801,0.0058097313,0.017671267,0.00798838,0.18373275,0.0045993705,0.0048414427,0.14790608,0.0043572984,0.012587751,0.07237957,0.0099249575,0.052529655,0.06923263,0.8917937,0.0031469378,0.020818204,0.0869039,0.013071896,0.008230452,0.0021786492,0.52868557,0.018881626,0.14790608,0.001694505,0.022028565,0.00024207214,0.01573469,0.00338901,0.05664488,0.005083515,0.0058097313,0.0038731543,0.06995885,0.0009682886,0.09852336,0.0191237,0.06245461,0.0,0.0045993705,0.101670295,0.0,0.021786492,0.018881626,0.13483419,0.0026627935,0.00024207214,0.014282256,0.005325587,0.039215688,4131.0,0.053740013,0.011135318,0.12975067,0.14500122,14.648936,0.03050109,0.073832005,0.16702977,35.136898,0.01573469,0.028564513,0.05422416,0.0014524328,0.0045993705,0.0004841443,0.06560155,0.054466233,0.016460905,gwbush,convention,2000
gwbush-inaug-2001,88.809395,0.0018987341,0.0018987341,0.005063291,0.015822785,0.0018987341,92.35746,0.0,0.12025317,0.0,0.0006329114,0.025316456,0.029113924,0.04050633,0.0006329114,0.029113924,0.0012658228,0.048734177,64.95613,0.011392405,0.00949367,0.0,0.04556962,0.13544303,0.032911394,0.013924051,0.012658228,0.014556962,0.22405063,0.003164557,0.006329114,0.13101266,0.003164557,0.006329114,0.09620253,0.005063291,0.035443038,0.052531645,0.89367086,0.0025316456,0.01898734,0.07721519,0.005063291,0.0037974683,0.012025316,0.5348101,0.017088607,0.14367089,0.0006329114,0.025316456,0.0006329114,0.020253165,0.0069620255,0.08607595,0.006329114,0.008860759,0.0012658228,0.07721519,0.0006329114,0.094936706,0.01835443,0.067721516,0.0,0.003164557,0.10189874,0.0,0.020886077,0.017721519,0.13734177,0.0006329114,0.0006329114,0.017088607,0.0012658228,0.07025316,1580.0,0.051265825,0.010126582,0.14303797,0.17721519,18.809525,0.014556962,0.06582279,0.15126583,31.836647,0.0056962026,0.00949367,0.0664557,0.0,0.0006329114,0.0,0.07278481,0.047468353,0.012658228,gwbush,inaug,2001
clinton-sotu-1994,67.98372,0.005251111,0.0032314528,0.024101252,0.017638346,0.017234415,90.59012,0.0,0.1052915,0.0016157264,0.002019658,0.013733675,0.017907634,0.02612091,0.00053857546,0.035276692,0.0016157264,0.058300793,70.653,0.011579373,0.0133297425,0.0,0.053049684,0.14097212,0.028679144,0.0018850141,0.015484044,0.011310085,0.19927292,0.004847179,0.0022889457,0.1460886,0.00417396,0.016426552,0.059243303,0.010771509,0.06099367,0.052780397,0.88622594,0.003096809,0.018042278,0.07351555,0.0057896865,0.0037700282,0.0016157264,0.5053184,0.030564157,0.1470311,0.0010771509,0.02369732,0.00053857546,0.017369058,0.0037700282,0.058570083,0.0032314528,0.00417396,0.007136125,0.06099367,0.00013464387,0.088730305,0.02127373,0.074996635,0.0,0.0021543019,0.10609937,0.00026928773,0.029487006,0.018715497,0.14501144,0.0018850141,0.0008078632,0.018850142,0.0016157264,0.04214353,7427.0,0.04591356,0.018176923,0.13423994,0.1470311,18.75505,0.026524842,0.060589742,0.13854854,31.990402,0.016157264,0.015618688,0.040258516,0.0006732193,0.00417396,0.0,0.056954354,0.051299315,0.01669584,clinton,sotu,1994
hwbush-convention-1998,80.0334,0.0028972588,0.003565857,0.008914642,0.019389346,0.018497882,77.70309,0.0,0.09761533,0.0020057946,0.0033429908,0.017160686,0.012703366,0.028972587,0.0017829285,0.029195454,0.004234455,0.0603967,65.76563,0.025629597,0.00735458,0.0,0.04368175,0.13215958,0.01983508,0.004457321,0.013817696,0.004234455,0.16692668,0.004011589,0.0062402496,0.16848674,0.011143303,0.00958324,0.05638511,0.011143303,0.035435703,0.064185426,0.88433254,0.0026743927,0.018052151,0.08870069,0.0064631156,0.0053487853,0.0011143303,0.55114776,0.017383553,0.15444618,0.0031201248,0.017829284,0.0017829285,0.013371963,0.0022286605,0.046579007,0.007800312,0.004680187,0.004680187,0.07733452,0.00044573212,0.09382661,0.023400936,0.071094275,0.0,0.0020057946,0.11254736,0.00089146424,0.01693782,0.013149098,0.13773122,0.0026743927,0.0015600624,0.015154892,0.0031201248,0.030086918,4487.0,0.04123022,0.018943615,0.11878761,0.11410742,14.906977,0.0367729,0.08647203,0.17896144,46.839752,0.03053265,0.037664365,0.042567417,0.0015600624,0.0031201248,0.0,0.06596835,0.046133272,0.013817696,hwbush,convention,1998
hwbush-inaug-1989,97.20733,0.0030198446,0.0073339087,0.008628128,0.02286454,0.005608283,89.0456,0.0,0.103106126,0.0,0.0038826575,0.017256256,0.0073339087,0.03235548,0.0012942192,0.03321829,0.0012942192,0.053062987,63.76437,0.02631579,0.0060396893,0.0,0.055651423,0.1281277,0.022001727,0.010353753,0.018981881,0.0051768767,0.1557377,0.004314064,0.0025884383,0.16609146,0.009922347,0.0060396893,0.06643658,0.009059534,0.028041415,0.061259706,0.9046592,0.0060396893,0.019413287,0.10181191,0.011647972,0.005608283,0.0060396893,0.5603969,0.023295945,0.1415013,0.002157032,0.01553063,0.0008628128,0.016393442,0.002157032,0.069025025,0.007765315,0.002157032,0.0060396893,0.075496115,0.0,0.08843831,0.018981881,0.07075065,0.0,0.0008628128,0.1281277,0.0,0.015962036,0.016824849,0.14538395,0.0069025024,0.0004314064,0.015962036,0.009059534,0.050905954,2318.0,0.03925798,0.0202761,0.12942192,0.1415013,16.439716,0.02761001,0.08541846,0.16566005,40.117126,0.008196721,0.016824849,0.05867127,0.0017256256,0.0069025024,0.0,0.07161346,0.058239862,0.017256256,hwbush,inaug,1989
clinton-sotu-1995,59.24559,0.0058581037,0.004881753,0.018550662,0.0154046435,0.019201562,90.42754,0.0,0.10349317,0.0030375354,0.0029290519,0.011607724,0.017248861,0.028965069,0.0013018008,0.036233455,0.0017357344,0.05738772,71.72406,0.011933174,0.0057496205,0.0,0.052180517,0.15057497,0.026903884,0.0030375354,0.009004123,0.008570189,0.1888696,0.0052072033,0.0019527012,0.14753743,0.0044478197,0.01692341,0.052831415,0.008353222,0.058581036,0.050227813,0.8957474,0.001627251,0.012041657,0.08374919,0.0041223695,0.004881753,0.0014102842,0.5397049,0.030158386,0.15024951,0.00075938384,0.016814927,0.000542417,0.018659145,0.002386635,0.06259492,0.0020611847,0.0052072033,0.0057496205,0.06476459,0.0003254502,0.092861794,0.017465828,0.0784335,0.0,0.0028205684,0.10620525,0.0,0.029832935,0.02006943,0.14688653,0.0018442179,0.0011933175,0.01659796,0.002386635,0.04588848,9218.0,0.047949664,0.014536776,0.13386852,0.14591017,19.99566,0.029290518,0.07149056,0.13419397,32.714275,0.019743979,0.016814927,0.034931656,0.0009763506,0.0028205684,0.0,0.052397482,0.052722935,0.01497071,clinton,sotu,1995
obama-convention-2008,68.655846,0.006646655,0.0030017153,0.020154374,0.015222984,0.016723841,82.72811,0.0,0.10827616,0.0010720411,0.008790738,0.020154374,0.019082332,0.03409091,0.0027873071,0.0364494,0.0032161234,0.068396226,58.307594,0.016723841,0.009005146,0.00021440824,0.057246998,0.13529159,0.026372213,0.0040737563,0.0154373925,0.008576329,0.17945969,0.0068610637,0.0034305318,0.15158662,0.0053602057,0.009005146,0.062392797,0.013936535,0.048885077,0.047813036,0.88357633,0.0012864494,0.02058319,0.08168954,0.010720411,0.011363637,0.0040737563,0.5355918,0.030660378,0.1614494,0.0019296741,0.0207976,0.0012864494,0.013936535,0.0055746143,0.049099486,0.0068610637,0.0057890224,0.0049313894,0.07740137,0.0017152659,0.09305317,0.019082332,0.06260721,0.0,0.0038593481,0.11084906,0.0,0.020368783,0.015866209,0.13486278,0.00085763296,0.0012864494,0.0207976,0.0032161234,0.034519725,4664.0,0.043739278,0.022512864,0.125,0.12542881,20.017168,0.025943397,0.06625214,0.13207547,31.556526,0.024656948,0.02422813,0.041809607,0.00085763296,0.00364494,0.0006432247,0.044382505,0.055960547,0.012435677,obama,convention,2008
