speechname,analytic
obama-sotu-2016,59.924156
hwbush-sotu-1992,61.06876
obama-sotu-2009,62.42105
obama-sotu-2010,64.175514
obama-sotu-2015,69.570526
clinton-sotu-1994,70.653
clinton-sotu-1995,71.72406
obama-sotu-2011,71.97151
obama-sotu-2012,73.70639
obama-sotu-2013,74.55925
gwbush-sotu-2001,74.87395
reagan-sotu-1985,76.517334
obama-sotu-2014,77.01786
clinton-sotu-1993,77.474846
clinton-sotu-1996,78.01574
clinton-sotu-2000,79.323135
hwbush-sotu-1989,79.59967
reagan-sotu-1984,79.88877
gwbush-sotu-2002,80.03244
reagan-sotu-1981,81.14168
clinton-sotu-1999,82.908325
hwbush-sotu-1990,82.93302
clinton-sotu-1998,83.357025
hwbush-sotu-1991,83.68725
gwbush-sotu-2004,84.99516
gwbush-sotu-2006,85.04833
reagan-sotu-1982,85.536606
reagan-sotu-1983,86.298
gwbush-sotu-2003,86.80393
gwbush-sotu-2007,87.79403
gwbush-sotu-2008,87.79403
