speechname,authentic
gwbush-sotu-2008,16.861258
gwbush-sotu-2007,16.861258
gwbush-sotu-2003,19.090399
gwbush-sotu-2001,19.793497
gwbush-sotu-2004,19.870438
clinton-sotu-1996,20.505243
reagan-sotu-1983,21.468542
gwbush-sotu-2002,21.656078
gwbush-sotu-2006,24.63309
hwbush-sotu-1991,25.365377
reagan-sotu-1984,26.071642
obama-sotu-2013,26.828617
reagan-sotu-1981,27.589586
obama-sotu-2014,28.79664
hwbush-sotu-1989,30.200708
clinton-sotu-1999,31.87476
clinton-sotu-1994,31.990402
clinton-sotu-1995,32.714275
clinton-sotu-2000,33.051697
reagan-sotu-1982,35.333317
obama-sotu-2011,35.587963
clinton-sotu-1998,35.759857
hwbush-sotu-1990,36.657654
clinton-sotu-1993,36.96329
obama-sotu-2016,37.906693
reagan-sotu-1985,38.188328
obama-sotu-2010,39.72252
obama-sotu-2009,39.89358
obama-sotu-2012,40.50549
obama-sotu-2015,41.700584
hwbush-sotu-1992,46.902428
