speechname,tone
gwbush-sotu-2003,24.88339
gwbush-sotu-2004,44.4207
obama-sotu-2010,52.064384
gwbush-sotu-2007,53.733116
gwbush-sotu-2008,53.733116
obama-sotu-2009,53.84585
hwbush-sotu-1991,57.241634
reagan-sotu-1981,59.09284
clinton-sotu-1995,59.24559
gwbush-sotu-2002,60.816864
reagan-sotu-1982,61.46311
hwbush-sotu-1992,63.932785
obama-sotu-2012,64.98447
obama-sotu-2016,65.335724
gwbush-sotu-2006,66.935005
clinton-sotu-1994,67.98372
clinton-sotu-1993,70.43979
obama-sotu-2011,70.657196
reagan-sotu-1983,71.01411
obama-sotu-2014,71.69997
obama-sotu-2015,76.111946
clinton-sotu-1998,76.663605
obama-sotu-2013,79.05385
hwbush-sotu-1989,80.87866
clinton-sotu-1999,81.85396
clinton-sotu-1996,82.11826
hwbush-sotu-1990,83.4887
reagan-sotu-1985,85.98861
clinton-sotu-2000,87.57281
reagan-sotu-1984,92.587456
gwbush-sotu-2001,92.74002
