speechname,tone,family,feel,money,insight,number,clout,Parenth,cogproc,OtherP,female,negate,negemo,differ,death,adverb,informal,ipron,analytic,percept,health,Exclam,adj,prep,achieve,relig,bio,risk,sixLtr,leisure,Quote,verb,hear,they,affect,you,work,Period,dic,friend,focusfuture,auxverb,male,shehe,SemiC,function,compare,pronoun,QMark,certain,assent,tentat,sad,affiliation,see,anger,home,conj,sexual,ppron,motion,space,filler,anx,focuspresent,netspeak,quant,discrep,relativ,Colon,nonflu,cause,body,we,wc,power,interrog,social,drives,wps,focuspast,article,AllPunc,authentic,Apostro,i,posemo,ingest,Dash,swear,Comma,time,reward,president,type,year
clinton-sotu-1993,70.43979,0.0024161455,0.0018476407,0.044059124,0.014496873,0.020181922,82.73636,0.0,0.10858443,0.003553155,0.00085275725,0.01350199,0.015491757,0.03112564,0.00014212621,0.033968166,0.0018476407,0.05926663,77.474846,0.010659466,0.0066799317,0.0,0.05628198,0.15477544,0.026861854,0.00085275725,0.009096078,0.0075326893,0.20480387,0.0036952815,0.0011370097,0.13700967,0.0052586696,0.008953951,0.055571347,0.008101194,0.06708357,0.041785106,0.8990904,0.00085275725,0.025582718,0.07532689,0.000710631,0.00028425243,0.002131893,0.529278,0.033257533,0.14027856,0.0,0.020892553,0.00042637862,0.020039795,0.003553155,0.053155202,0.0031267765,0.0031267765,0.004832291,0.06495168,0.0,0.08072769,0.019187039,0.07447413,0.0,0.0012791358,0.100909606,0.0,0.031409893,0.0206083,0.14553724,0.0015633883,0.001421262,0.020324048,0.002131893,0.043632746,7036.0,0.039511085,0.011512223,0.107021034,0.12777147,24.09589,0.0150653785,0.07390563,0.11569073,36.96329,0.012791359,0.019755542,0.039226834,0.00028425243,0.0036952815,0.0,0.04903354,0.054292213,0.013075612,clinton,sotu,1993
clinton-sotu-1994,67.98372,0.005251111,0.0032314528,0.024101252,0.017638346,0.017234415,90.59012,0.0,0.1052915,0.0016157264,0.002019658,0.013733675,0.017907634,0.02612091,0.00053857546,0.035276692,0.0016157264,0.058300793,70.653,0.011579373,0.0133297425,0.0,0.053049684,0.14097212,0.028679144,0.0018850141,0.015484044,0.011310085,0.19927292,0.004847179,0.0022889457,0.1460886,0.00417396,0.016426552,0.059243303,0.010771509,0.06099367,0.052780397,0.88622594,0.003096809,0.018042278,0.07351555,0.0057896865,0.0037700282,0.0016157264,0.5053184,0.030564157,0.1470311,0.0010771509,0.02369732,0.00053857546,0.017369058,0.0037700282,0.058570083,0.0032314528,0.00417396,0.007136125,0.06099367,0.00013464387,0.088730305,0.02127373,0.074996635,0.0,0.0021543019,0.10609937,0.00026928773,0.029487006,0.018715497,0.14501144,0.0018850141,0.0008078632,0.018850142,0.0016157264,0.04214353,7427.0,0.04591356,0.018176923,0.13423994,0.1470311,18.75505,0.026524842,0.060589742,0.13854854,31.990402,0.016157264,0.015618688,0.040258516,0.0006732193,0.00417396,0.0,0.056954354,0.051299315,0.01669584,clinton,sotu,1994
clinton-sotu-1995,59.24559,0.0058581037,0.004881753,0.018550662,0.0154046435,0.019201562,90.42754,0.0,0.10349317,0.0030375354,0.0029290519,0.011607724,0.017248861,0.028965069,0.0013018008,0.036233455,0.0017357344,0.05738772,71.72406,0.011933174,0.0057496205,0.0,0.052180517,0.15057497,0.026903884,0.0030375354,0.009004123,0.008570189,0.1888696,0.0052072033,0.0019527012,0.14753743,0.0044478197,0.01692341,0.052831415,0.008353222,0.058581036,0.050227813,0.8957474,0.001627251,0.012041657,0.08374919,0.0041223695,0.004881753,0.0014102842,0.5397049,0.030158386,0.15024951,0.00075938384,0.016814927,0.000542417,0.018659145,0.002386635,0.06259492,0.0020611847,0.0052072033,0.0057496205,0.06476459,0.0003254502,0.092861794,0.017465828,0.0784335,0.0,0.0028205684,0.10620525,0.0,0.029832935,0.02006943,0.14688653,0.0018442179,0.0011933175,0.01659796,0.002386635,0.04588848,9218.0,0.047949664,0.014536776,0.13386852,0.14591017,19.99566,0.029290518,0.07149056,0.13419397,32.714275,0.019743979,0.016814927,0.034931656,0.0009763506,0.0028205684,0.0,0.052397482,0.052722935,0.01497071,clinton,sotu,1995
clinton-sotu-1996,82.11826,0.0076911002,0.0036101083,0.02056192,0.011615131,0.022445455,92.085655,0.0,0.09449066,0.0012556899,0.0017265736,0.009417674,0.018521424,0.023701146,0.002040496,0.031549208,0.0018835347,0.044106107,78.01574,0.010673364,0.009574635,0.0,0.05226809,0.14785747,0.039868154,0.0029822635,0.013341704,0.00894679,0.22665201,0.007534139,0.00094176736,0.13169047,0.003924031,0.01663789,0.06969079,0.007848062,0.07659708,0.0558782,0.8821221,0.002825302,0.009417674,0.07518443,0.004865798,0.003924031,0.00094176736,0.49945062,0.028096061,0.1348297,0.0010987286,0.026212525,0.0010987286,0.011615131,0.0032961858,0.0692199,0.0029822635,0.007534139,0.007534139,0.05729085,0.00078480615,0.09072359,0.014283472,0.0692199,0.0,0.0021974572,0.108931094,0.00015696124,0.03060744,0.018207503,0.1307487,0.0025113798,0.00062784494,0.015225239,0.0017265736,0.045675717,6371.0,0.059174385,0.010516402,0.13734108,0.17673835,17.845938,0.015225239,0.0635693,0.12462722,20.505243,0.010830325,0.01663789,0.04991367,0.0015696123,0.0031392246,0.0,0.048030138,0.04865798,0.01271386,clinton,sotu,1996
clinton-sotu-1998,76.663605,0.0051841745,0.0025920873,0.022646658,0.013915416,0.025511596,90.353645,0.0,0.08826739,0.002319236,0.0025920873,0.007503411,0.014051842,0.01978172,0.0012278309,0.030968621,0.0008185539,0.04065484,83.357025,0.011869031,0.008594816,0.0,0.049931787,0.14229195,0.029604366,0.0013642565,0.012960437,0.009276944,0.2260573,0.0060027284,0.0024556618,0.13124147,0.004774898,0.013915416,0.056070942,0.008049114,0.061255116,0.049658936,0.86507505,0.0028649387,0.017053206,0.06903138,0.0030013642,0.00313779,0.004229195,0.48294678,0.023601636,0.12264666,0.0008185539,0.023055935,0.0002728513,0.014597544,0.0025920873,0.06466576,0.0045020464,0.005457026,0.006821282,0.05702592,0.0002728513,0.081991814,0.019099591,0.07421555,0.0,0.0024556618,0.102046385,0.0,0.025920874,0.016643928,0.15934515,0.0043656207,0.0005457026,0.015279673,0.0020463846,0.0420191,7330.0,0.051841747,0.010777626,0.122373804,0.153206,19.972752,0.019236017,0.07544339,0.14215553,35.759857,0.014597544,0.014870396,0.041609824,0.0017735334,0.003410641,0.0,0.060300138,0.06739427,0.012960437,clinton,sotu,1998
clinton-sotu-1999,81.85396,0.0042474116,0.0029200956,0.024820812,0.011945846,0.026546324,91.242455,0.0,0.08985931,0.0042474116,0.0042474116,0.0074329707,0.015396868,0.020971596,0.0013273162,0.032386515,0.0011945845,0.0386249,82.908325,0.011680382,0.009689408,0.0,0.04499602,0.14998673,0.03119193,0.00092912134,0.013007699,0.01314043,0.23387311,0.0049110698,0.0037164853,0.12994425,0.005972923,0.009954872,0.062118396,0.00902575,0.0642421,0.052827183,0.8616937,0.001725511,0.014865941,0.06663127,0.0019909742,0.00411468,0.0021237058,0.48354128,0.025351739,0.12503318,0.0,0.023626227,0.00026546323,0.014865941,0.003849217,0.06941864,0.0026546323,0.0039819484,0.005176533,0.05641094,0.00053092645,0.08640828,0.01738784,0.072073266,0.0,0.0033182905,0.097292274,0.00026546323,0.024422618,0.02044067,0.15808335,0.002389169,0.0006636581,0.014600478,0.0021237058,0.048048846,7534.0,0.045394212,0.007831166,0.12224582,0.15436687,19.219387,0.020042473,0.06596761,0.14308469,31.87476,0.0128749665,0.015264136,0.046588797,0.0006636581,0.0035837537,0.0,0.061322007,0.07008229,0.012078577,clinton,sotu,1999
clinton-sotu-2000,87.57281,0.0059042205,0.0019680734,0.02755303,0.013448502,0.028209053,91.675186,0.0,0.09042204,0.0047015087,0.0015307238,0.007106932,0.012901815,0.018259348,0.0015307238,0.03498797,0.0016400613,0.049748525,79.323135,0.010277717,0.009512356,0.0,0.05248196,0.14924558,0.030614477,0.0019680734,0.012136453,0.009075006,0.21528538,0.005248196,0.0017493987,0.13459435,0.004482834,0.008746993,0.06221299,0.012136453,0.05805817,0.05455937,0.8639842,0.0025147605,0.01563525,0.06385305,0.0064509073,0.0038268096,0.002624098,0.48349005,0.027990378,0.13896786,0.00043734966,0.021430133,0.00043734966,0.012027116,0.002624098,0.064618416,0.0033894598,0.0047015087,0.006013558,0.054668706,0.0007653619,0.08921933,0.018915372,0.07653619,0.0,0.0022960857,0.102121145,0.000109337416,0.030614477,0.017384648,0.15372841,0.0019680734,0.0010933741,0.017493986,0.0014213864,0.045047015,9146.0,0.04778045,0.010387055,0.12606604,0.15121365,18.51417,0.022632845,0.059807565,0.14268532,33.051697,0.014213864,0.01946206,0.04898316,0.00054668705,0.0043734964,0.0,0.05805817,0.059807565,0.018259348,clinton,sotu,2000
gwbush-sotu-2001,92.74002,0.0043290043,0.0029619504,0.047163364,0.012987013,0.025974026,88.71387,0.0,0.100250624,0.006151743,0.0018227387,0.011164274,0.016404647,0.027113238,0.000683527,0.027796764,0.0011392117,0.035315562,74.87395,0.012303486,0.0118478015,0.0,0.053087264,0.12850307,0.027113238,0.0025062656,0.013898382,0.012987013,0.23239918,0.0031897926,0.0018227387,0.13921167,0.004784689,0.012303486,0.07678287,0.007974481,0.0726817,0.064023696,0.8881294,0.002050581,0.021872863,0.07723855,0.002050581,0.0018227387,0.0018227387,0.47505125,0.026201868,0.12235133,0.0,0.02050581,0.000683527,0.015265436,0.0038733196,0.06926407,0.0043290043,0.004784689,0.004556847,0.065846436,0.00022784233,0.08703577,0.01663249,0.06447938,0.0,0.0031897926,0.10047847,0.0,0.028708134,0.025518341,0.12804739,0.002734108,0.00045568467,0.017771702,0.00091136934,0.04670768,4389.0,0.056960583,0.008658009,0.12303486,0.16883117,15.787769,0.014581909,0.06470722,0.14490773,19.793497,0.013442698,0.018227387,0.05855548,0.00091136934,0.0031897926,0.0,0.05172021,0.048302576,0.018683072,gwbush,sotu,2001
gwbush-sotu-2002,60.816864,0.0033845352,0.001822442,0.019786514,0.011715699,0.012757095,89.12825,0.00052069774,0.0799271,0.0013017444,0.0033845352,0.009632908,0.040093727,0.016922677,0.0067690704,0.026815934,0.0007810466,0.036188494,80.03244,0.011976048,0.007810466,0.0,0.046862796,0.13876595,0.028638376,0.0052069775,0.012496745,0.01848477,0.24681072,0.004165582,0.0026034887,0.12132257,0.004165582,0.009632908,0.09919292,0.004165582,0.047123145,0.056235354,0.8482166,0.0033845352,0.02082791,0.07055454,0.004425931,0.0013017444,0.0052069775,0.47357458,0.024212444,0.10960687,0.0,0.019526165,0.00026034887,0.015360584,0.003644884,0.066388965,0.0052069775,0.017443374,0.0028638376,0.07341838,0.0,0.07341838,0.014579536,0.07524082,0.0,0.012496745,0.076542564,0.00026034887,0.019005468,0.01614163,0.1385056,0.0033845352,0.00052069774,0.015100234,0.0023431398,0.045040354,3841.0,0.059099194,0.007810466,0.114032805,0.16818537,17.948599,0.022390002,0.06430617,0.13772455,21.656078,0.009893257,0.013277792,0.058578495,0.0013017444,0.001822442,0.0,0.056756053,0.048945587,0.015881281,gwbush,sotu,2002
gwbush-sotu-2003,24.88339,0.0016638935,0.0011092623,0.01756332,0.016454058,0.024034018,84.93959,0.0,0.08985025,0.002773156,0.0016638935,0.013311148,0.039933443,0.022555001,0.0057311887,0.021445738,0.0012941394,0.040303197,86.80393,0.007395082,0.018117951,0.0,0.04141246,0.14217046,0.024958402,0.003512664,0.021445738,0.01626918,0.25679424,0.0016638935,0.0016638935,0.11758181,0.0018487705,0.008504344,0.079682015,0.007395082,0.04954705,0.05712701,0.8428545,0.0020336476,0.01756332,0.0693289,0.010353115,0.007025328,0.0012941394,0.4712516,0.020521354,0.10371603,0.00036975413,0.018302828,0.0,0.012756517,0.003327787,0.04695877,0.003697541,0.021630615,0.0022185247,0.059345536,0.002773156,0.06341283,0.018302828,0.0693289,0.0,0.009798484,0.08337955,0.0011092623,0.02514328,0.01257164,0.13089296,0.0018487705,0.00036975413,0.01756332,0.0011092623,0.03327787,5409.0,0.055093363,0.00813459,0.105749674,0.1369939,17.910597,0.018302828,0.07635423,0.13440561,19.090399,0.007395082,0.0072102053,0.039378814,0.00092438527,0.00314291,0.0,0.058790904,0.04584951,0.011092624,gwbush,sotu,2003
