speech,category,count,total_words,percent
trump-inaugural,ABS,22,1459,1.51
trump-rnc,ABS,37,4455,0.83
trump-nc-speech,ABS,24,3602,0.67
trump-immigration-speech,ABS,36,6885,0.52
trump-victory,ABS,8,1759,0.45
trump-announcesprezrun,ABS,13,6358,0.2
trump-immigration-speech,ANI,1,6885,0.01
trump-announcesprezrun,ANI,0,6358,0.0
trump-inaugural,ANI,0,1459,0.0
trump-nc-speech,ANI,0,3602,0.0
trump-rnc,ANI,0,4455,0.0
trump-victory,ANI,0,1759,0.0
trump-inaugural,Abs@,17,1459,1.17
trump-rnc,Abs@,29,4455,0.65
trump-nc-speech,Abs@,16,3602,0.44
trump-immigration-speech,Abs@,23,6885,0.33
trump-victory,Abs@,4,1759,0.23
trump-announcesprezrun,Abs@,6,6358,0.09
trump-inaugural,Academ,4,1459,0.27
trump-victory,Academ,2,1759,0.11
trump-immigration-speech,Academ,7,6885,0.1
trump-rnc,Academ,4,4455,0.09
trump-nc-speech,Academ,2,3602,0.06
trump-announcesprezrun,Academ,2,6358,0.03
trump-inaugural,Active,23,1459,1.58
trump-nc-speech,Active,32,3602,0.89
trump-immigration-speech,Active,55,6885,0.8
trump-rnc,Active,34,4455,0.76
trump-victory,Active,12,1759,0.68
trump-announcesprezrun,Active,22,6358,0.35
trump-announcesprezrun,AffGain,0,6358,0.0
trump-immigration-speech,AffGain,0,6885,0.0
trump-inaugural,AffGain,0,1459,0.0
trump-nc-speech,AffGain,0,3602,0.0
trump-rnc,AffGain,0,4455,0.0
trump-victory,AffGain,0,1759,0.0
trump-rnc,AffLoss,1,4455,0.02
trump-announcesprezrun,AffLoss,0,6358,0.0
trump-immigration-speech,AffLoss,0,6885,0.0
trump-inaugural,AffLoss,0,1459,0.0
trump-nc-speech,AffLoss,0,3602,0.0
trump-victory,AffLoss,0,1759,0.0
trump-inaugural,AffOth,5,1459,0.34
trump-rnc,AffOth,6,4455,0.13
trump-victory,AffOth,2,1759,0.11
trump-nc-speech,AffOth,3,3602,0.08
trump-immigration-speech,AffOth,5,6885,0.07
trump-announcesprezrun,AffOth,1,6358,0.02
trump-rnc,AffPt,8,4455,0.18
trump-victory,AffPt,3,1759,0.17
trump-announcesprezrun,AffPt,5,6358,0.08
trump-nc-speech,AffPt,2,3602,0.06
trump-immigration-speech,AffPt,1,6885,0.01
trump-inaugural,AffPt,0,1459,0.0
trump-inaugural,AffTot,5,1459,0.34
trump-rnc,AffTot,15,4455,0.34
trump-victory,AffTot,5,1759,0.28
trump-nc-speech,AffTot,5,3602,0.14
trump-announcesprezrun,AffTot,6,6358,0.09
trump-immigration-speech,AffTot,6,6885,0.09
trump-inaugural,Affil,12,1459,0.82
trump-victory,Affil,12,1759,0.68
trump-rnc,Affil,24,4455,0.54
trump-nc-speech,Affil,16,3602,0.44
trump-immigration-speech,Affil,22,6885,0.32
trump-announcesprezrun,Affil,11,6358,0.17
trump-nc-speech,Anomie,1,3602,0.03
trump-rnc,Anomie,1,4455,0.02
trump-immigration-speech,Anomie,1,6885,0.01
trump-announcesprezrun,Anomie,0,6358,0.0
trump-inaugural,Anomie,0,1459,0.0
trump-victory,Anomie,0,1759,0.0
trump-inaugural,Aquatic,1,1459,0.07
trump-announcesprezrun,Aquatic,2,6358,0.03
trump-immigration-speech,Aquatic,2,6885,0.03
trump-nc-speech,Aquatic,0,3602,0.0
trump-rnc,Aquatic,0,4455,0.0
trump-victory,Aquatic,0,1759,0.0
trump-inaugural,ArenaLw,2,1459,0.14
trump-nc-speech,ArenaLw,4,3602,0.11
trump-rnc,ArenaLw,5,4455,0.11
trump-victory,ArenaLw,2,1759,0.11
trump-immigration-speech,ArenaLw,6,6885,0.09
trump-announcesprezrun,ArenaLw,3,6358,0.05
trump-victory,Arousal,3,1759,0.17
trump-inaugural,Arousal,2,1459,0.14
trump-nc-speech,Arousal,3,3602,0.08
trump-rnc,Arousal,3,4455,0.07
trump-immigration-speech,Arousal,2,6885,0.03
trump-announcesprezrun,Arousal,1,6358,0.02
trump-victory,Begin,1,1759,0.06
trump-immigration-speech,Begin,2,6885,0.03
trump-nc-speech,Begin,1,3602,0.03
trump-rnc,Begin,1,4455,0.02
trump-announcesprezrun,Begin,0,6358,0.0
trump-inaugural,Begin,0,1459,0.0
trump-inaugural,BldgPt,1,1459,0.07
trump-announcesprezrun,BldgPt,2,6358,0.03
trump-immigration-speech,BldgPt,2,6885,0.03
trump-nc-speech,BldgPt,0,3602,0.0
trump-rnc,BldgPt,0,4455,0.0
trump-victory,BldgPt,0,1759,0.0
trump-inaugural,BodyPt,1,1459,0.07
trump-announcesprezrun,BodyPt,1,6358,0.02
trump-immigration-speech,BodyPt,1,6885,0.01
trump-nc-speech,BodyPt,0,3602,0.0
trump-rnc,BodyPt,0,4455,0.0
trump-victory,BodyPt,0,1759,0.0
trump-nc-speech,CARD,10,3602,0.28
trump-victory,CARD,4,1759,0.23
trump-rnc,CARD,9,4455,0.2
trump-immigration-speech,CARD,12,6885,0.17
trump-announcesprezrun,CARD,8,6358,0.13
trump-inaugural,CARD,1,1459,0.07
trump-victory,COLL,9,1759,0.51
trump-nc-speech,COLL,16,3602,0.44
trump-inaugural,COLL,5,1459,0.34
trump-rnc,COLL,14,4455,0.31
trump-immigration-speech,COLL,15,6885,0.22
trump-announcesprezrun,COLL,5,6358,0.08
trump-inaugural,COLOR,2,1459,0.14
trump-victory,COLOR,1,1759,0.06
trump-rnc,COLOR,2,4455,0.04
trump-announcesprezrun,COLOR,0,6358,0.0
trump-immigration-speech,COLOR,0,6885,0.0
trump-nc-speech,COLOR,0,3602,0.0
trump-nc-speech,COM,12,3602,0.33
trump-rnc,COM,13,4455,0.29
trump-immigration-speech,COM,16,6885,0.23
trump-inaugural,COM,3,1459,0.21
trump-announcesprezrun,COM,12,6358,0.19
trump-victory,COM,2,1759,0.11
trump-immigration-speech,Causal,3,6885,0.04
trump-rnc,Causal,2,4455,0.04
trump-nc-speech,Causal,1,3602,0.03
trump-announcesprezrun,Causal,1,6358,0.02
trump-inaugural,Causal,0,1459,0.0
trump-victory,Causal,0,1759,0.0
trump-nc-speech,ComForm,16,3602,0.44
trump-rnc,ComForm,15,4455,0.34
trump-immigration-speech,ComForm,19,6885,0.28
trump-announcesprezrun,ComForm,13,6358,0.2
trump-victory,ComForm,3,1759,0.17
trump-inaugural,ComForm,2,1459,0.14
trump-inaugural,ComnObj,2,1459,0.14
trump-rnc,ComnObj,6,4455,0.13
trump-announcesprezrun,ComnObj,5,6358,0.08
trump-nc-speech,ComnObj,2,3602,0.06
trump-victory,ComnObj,1,1759,0.06
trump-immigration-speech,ComnObj,3,6885,0.04
trump-rnc,Compare,4,4455,0.09
trump-nc-speech,Compare,3,3602,0.08
trump-announcesprezrun,Compare,4,6358,0.06
trump-immigration-speech,Compare,4,6885,0.06
trump-victory,Compare,1,1759,0.06
trump-inaugural,Compare,0,1459,0.0
trump-immigration-speech,Complet,8,6885,0.12
trump-victory,Complet,2,1759,0.11
trump-inaugural,Complet,1,1459,0.07
trump-rnc,Complet,3,4455,0.07
trump-nc-speech,Complet,2,3602,0.06
trump-announcesprezrun,Complet,3,6358,0.05
trump-inaugural,DAV,6,1459,0.41
trump-nc-speech,DAV,10,3602,0.28
trump-rnc,DAV,9,4455,0.2
trump-victory,DAV,3,1759,0.17
trump-immigration-speech,DAV,10,6885,0.15
trump-announcesprezrun,DAV,6,6358,0.09
trump-inaugural,DIM,2,1459,0.14
trump-immigration-speech,DIM,5,6885,0.07
trump-nc-speech,DIM,2,3602,0.06
trump-victory,DIM,1,1759,0.06
trump-announcesprezrun,DIM,3,6358,0.05
trump-rnc,DIM,2,4455,0.04
trump-immigration-speech,DIST,2,6885,0.03
trump-announcesprezrun,DIST,0,6358,0.0
trump-inaugural,DIST,0,1459,0.0
trump-nc-speech,DIST,0,3602,0.0
trump-rnc,DIST,0,4455,0.0
trump-victory,DIST,0,1759,0.0
trump-inaugural,Decreas,1,1459,0.07
trump-rnc,Decreas,2,4455,0.04
trump-announcesprezrun,Decreas,2,6358,0.03
trump-immigration-speech,Decreas,2,6885,0.03
trump-nc-speech,Decreas,1,3602,0.03
trump-victory,Decreas,0,1759,0.0
trump-inaugural,Defined,190,1459,13.02
trump-victory,Defined,168,1759,9.55
trump-rnc,Defined,387,4455,8.69
trump-nc-speech,Defined,296,3602,8.22
trump-immigration-speech,Defined,463,6885,6.72
trump-announcesprezrun,Defined,319,6358,5.02
trump-inaugural,Doctrin,8,1459,0.55
trump-rnc,Doctrin,19,4455,0.43
trump-nc-speech,Doctrin,12,3602,0.33
trump-victory,Doctrin,5,1759,0.28
trump-immigration-speech,Doctrin,18,6885,0.26
trump-announcesprezrun,Doctrin,10,6358,0.16
trump-rnc,ECON,43,4455,0.97
trump-inaugural,ECON,14,1459,0.96
trump-nc-speech,ECON,30,3602,0.83
trump-victory,ECON,14,1759,0.8
trump-announcesprezrun,ECON,46,6358,0.72
trump-immigration-speech,ECON,43,6885,0.62
trump-inaugural,EMOT,7,1459,0.48
trump-victory,EMOT,5,1759,0.28
trump-rnc,EMOT,11,4455,0.25
trump-nc-speech,EMOT,8,3602,0.22
trump-immigration-speech,EMOT,7,6885,0.1
trump-announcesprezrun,EMOT,2,6358,0.03
trump-victory,EVAL,10,1759,0.57
trump-rnc,EVAL,24,4455,0.54
trump-inaugural,EVAL,7,1459,0.48
trump-immigration-speech,EVAL,31,6885,0.45
trump-nc-speech,EVAL,15,3602,0.42
trump-announcesprezrun,EVAL,21,6358,0.33
trump-nc-speech,Econ@,18,3602,0.5
trump-inaugural,Econ@,7,1459,0.48
trump-announcesprezrun,Econ@,26,6358,0.41
trump-rnc,Econ@,16,4455,0.36
trump-victory,Econ@,6,1759,0.34
trump-immigration-speech,Econ@,21,6885,0.31
trump-victory,EndsLw,12,1759,0.68
trump-inaugural,EndsLw,6,1459,0.41
trump-rnc,EndsLw,18,4455,0.4
trump-nc-speech,EndsLw,13,3602,0.36
trump-immigration-speech,EndsLw,23,6885,0.33
trump-announcesprezrun,EndsLw,8,6358,0.13
trump-nc-speech,EnlEnds,1,3602,0.03
trump-announcesprezrun,EnlEnds,0,6358,0.0
trump-immigration-speech,EnlEnds,0,6885,0.0
trump-inaugural,EnlEnds,0,1459,0.0
trump-rnc,EnlEnds,0,4455,0.0
trump-victory,EnlEnds,0,1759,0.0
trump-immigration-speech,EnlGain,6,6885,0.09
trump-nc-speech,EnlGain,3,3602,0.08
trump-inaugural,EnlGain,1,1459,0.07
trump-announcesprezrun,EnlGain,2,6358,0.03
trump-rnc,EnlGain,1,4455,0.02
trump-victory,EnlGain,0,1759,0.0
trump-announcesprezrun,EnlLoss,0,6358,0.0
trump-immigration-speech,EnlLoss,0,6885,0.0
trump-inaugural,EnlLoss,0,1459,0.0
trump-nc-speech,EnlLoss,0,3602,0.0
trump-rnc,EnlLoss,0,4455,0.0
trump-victory,EnlLoss,0,1759,0.0
trump-inaugural,EnlOth,10,1459,0.69
trump-immigration-speech,EnlOth,31,6885,0.45
trump-rnc,EnlOth,15,4455,0.34
trump-nc-speech,EnlOth,9,3602,0.25
trump-announcesprezrun,EnlOth,15,6358,0.24
trump-victory,EnlOth,3,1759,0.17
trump-nc-speech,EnlPt,3,3602,0.08
trump-rnc,EnlPt,2,4455,0.04
trump-immigration-speech,EnlPt,2,6885,0.03
trump-announcesprezrun,EnlPt,1,6358,0.02
trump-inaugural,EnlPt,0,1459,0.0
trump-victory,EnlPt,0,1759,0.0
trump-inaugural,EnlTot,11,1459,0.75
trump-immigration-speech,EnlTot,39,6885,0.57
trump-nc-speech,EnlTot,16,3602,0.44
trump-rnc,EnlTot,18,4455,0.4
trump-announcesprezrun,EnlTot,18,6358,0.28
trump-victory,EnlTot,3,1759,0.17
trump-rnc,Eval@,8,4455,0.18
trump-victory,Eval@,2,1759,0.11
trump-announcesprezrun,Eval@,5,6358,0.08
trump-nc-speech,Eval@,3,3602,0.08
trump-immigration-speech,Eval@,2,6885,0.03
trump-inaugural,Eval@,0,1459,0.0
trump-inaugural,Exch,1,1459,0.07
trump-nc-speech,Exch,2,3602,0.06
trump-victory,Exch,1,1759,0.06
trump-announcesprezrun,Exch,3,6358,0.05
trump-immigration-speech,Exch,3,6885,0.04
trump-rnc,Exch,1,4455,0.02
trump-inaugural,Exert,4,1459,0.27
trump-rnc,Exert,6,4455,0.13
trump-announcesprezrun,Exert,4,6358,0.06
trump-immigration-speech,Exert,4,6885,0.06
trump-nc-speech,Exert,2,3602,0.06
trump-victory,Exert,1,1759,0.06
trump-nc-speech,Exprsv,4,3602,0.11
trump-victory,Exprsv,2,1759,0.11
trump-inaugural,Exprsv,1,1459,0.07
trump-immigration-speech,Exprsv,4,6885,0.06
trump-rnc,Exprsv,2,4455,0.04
trump-announcesprezrun,Exprsv,1,6358,0.02
trump-inaugural,FREQ,1,1459,0.07
trump-immigration-speech,FREQ,4,6885,0.06
trump-nc-speech,FREQ,2,3602,0.06
trump-victory,FREQ,1,1759,0.06
